period,stateid,stateName,sector,sectorName,entityid,entityName,plantid,plantName,generatorid,technology,energy_source_code,energy.source.desc,prime_mover_code,balancing_authority_code,balancing.authority.name,status,statusDescription,county,latitude,longitude,nameplate.capacity.mw,operating.year.month,unit,nameplate.capacity.mw.units
2014-05,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PV1,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.1,1998-03,,MW
2013-01,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PV2,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.1,1999-10,,MW
2013-01,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PV1,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.1,1998-03,,MW
2013-01,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PVM,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.4,1988-04,,MW
2013-02,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PVM,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.4,1988-04,,MW
2013-02,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PV2,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.1,1999-10,,MW
2013-02,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PV1,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.1,1998-03,,MW
2013-07,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PVM,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.4,1988-04,,MW
2013-07,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PV2,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.1,1999-10,,MW
2013-07,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PV1,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.1,1998-03,,MW
2015-10,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PVM,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.4,1988-04,,MW
2015-10,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PV2,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.1,1999-10,,MW
2015-10,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PV1,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.1,1998-03,,MW
2015-07,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PVM,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.4,1988-04,,MW
2015-07,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PV2,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.1,1999-10,,MW
2015-07,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PV1,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.1,1998-03,,MW
2015-11,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PVM,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.4,1988-04,,MW
2015-11,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PV2,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.1,1999-10,,MW
2015-11,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PV1,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.1,1998-03,,MW
2015-08,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PVM,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.4,1988-04,,MW
2015-08,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PV2,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.1,1999-10,,MW
2015-08,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PV1,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.1,1998-03,,MW
2015-05,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PVM,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.4,1988-04,,MW
2015-05,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PV2,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.1,1999-10,,MW
2015-05,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PV1,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.1,1998-03,,MW
2015-09,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PVM,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.4,1988-04,,MW
2015-09,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PV2,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.1,1999-10,,MW
2015-09,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PV1,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.1,1998-03,,MW
2015-04,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PVM,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.4,1988-04,,MW
2015-04,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PV2,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.1,1999-10,,MW
2015-04,AZ,Arizona,electric-utility,Electric Utility,803,Arizona Public Service Co,116,Ocotillo,PV1,Solar Photovoltaic,SUN,Solar,PV,AZPS,Arizona Public Service Company,OP,Operating,Maricopa,33.4225,-111.9122,0.1,1998-03,,MW
