period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,gross.generation,gross.generation.units
2013-02,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,32,megawatthours
2016-05,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,82,megawatthours
2016-06,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,70,megawatthours
2015-11,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,0,megawatthours
2015-12,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,33,megawatthours
2015-04,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,66,megawatthours
2016-08,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,64,megawatthours
2016-07,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,70,megawatthours
2016-09,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,56,megawatthours
2016-01,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,33,megawatthours
2016-03,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,57,megawatthours
2016-02,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,46,megawatthours
2016-04,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,64,megawatthours
2016-10,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,50,megawatthours
2016-11,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,37,megawatthours
2015-03,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,52,megawatthours
2015-02,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,35,megawatthours
2014-05,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,34,megawatthours
2016-12,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,24,megawatthours
2014-12,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,16,megawatthours
2015-09,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,6,megawatthours
2015-10,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,5,megawatthours
2013-12,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,26,megawatthours
2015-01,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,22,megawatthours
2014-01,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,27,megawatthours
2014-07,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,39,megawatthours
2014-08,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,38,megawatthours
2013-10,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,40,megawatthours
2013-11,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,27,megawatthours
2015-05,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,65,megawatthours
2015-08,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,7,megawatthours
2015-06,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,63,megawatthours
2015-07,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,51,megawatthours
2013-07,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,42,megawatthours
2013-08,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,44,megawatthours
2014-09,116,Ocotillo,SUN,Solar,AZ,Arizona,PV,31,megawatthours
