period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,gross.generation,gross.generation.units
2013-04,529,Rancho Seco Solar,SUN,Solar,CA,California,PV,0,megawatthours
2013-03,529,Rancho Seco Solar,SUN,Solar,CA,California,PV,0,megawatthours
2013-02,529,Rancho Seco Solar,SUN,Solar,CA,California,PV,0,megawatthours
2013-01,529,Rancho Seco Solar,SUN,Solar,CA,California,PV,0,megawatthours
2017-11,10437,Sunray 2,SUN,Solar,CA,California,PV,2905.42,megawatthours
2020-07,10437,Sunray 2,SUN,Solar,CA,California,PV,7448.79,megawatthours
2019-08,10437,Sunray 2,SUN,Solar,CA,California,PV,6837.7,megawatthours
2019-07,10437,Sunray 2,SUN,Solar,CA,California,PV,6981.67,megawatthours
2020-10,10437,Sunray 2,SUN,Solar,CA,California,PV,4478.87,megawatthours
2020-02,10437,Sunray 2,SUN,Solar,CA,California,PV,4103.07,megawatthours
2019-09,10437,Sunray 2,SUN,Solar,CA,California,PV,5591.8,megawatthours
2020-06,10437,Sunray 2,SUN,Solar,CA,California,PV,6594.67,megawatthours
2020-08,10437,Sunray 2,SUN,Solar,CA,California,PV,6171.11,megawatthours
2020-04,10437,Sunray 2,SUN,Solar,CA,California,PV,5060.16,megawatthours
2020-01,10437,Sunray 2,SUN,Solar,CA,California,PV,3026.87,megawatthours
2020-05,10437,Sunray 2,SUN,Solar,CA,California,PV,6622.48,megawatthours
2019-12,10437,Sunray 2,SUN,Solar,CA,California,PV,2117.9,megawatthours
2019-10,10437,Sunray 2,SUN,Solar,CA,California,PV,5137.94,megawatthours
2019-06,10437,Sunray 2,SUN,Solar,CA,California,PV,7074.52,megawatthours
2019-05,10437,Sunray 2,SUN,Solar,CA,California,PV,5851.84,megawatthours
2019-04,10437,Sunray 2,SUN,Solar,CA,California,PV,5620.49,megawatthours
2019-03,10437,Sunray 2,SUN,Solar,CA,California,PV,4832.47,megawatthours
2020-09,10437,Sunray 2,SUN,Solar,CA,California,PV,4845.54,megawatthours
2018-06,10437,Sunray 2,SUN,Solar,CA,California,PV,7296.31,megawatthours
2018-07,10437,Sunray 2,SUN,Solar,CA,California,PV,6306.71,megawatthours
2019-11,10437,Sunray 2,SUN,Solar,CA,California,PV,3285.89,megawatthours
2018-10,10437,Sunray 2,SUN,Solar,CA,California,PV,4736.47,megawatthours
2018-05,10437,Sunray 2,SUN,Solar,CA,California,PV,6771.93,megawatthours
2018-04,10437,Sunray 2,SUN,Solar,CA,California,PV,5618.08,megawatthours
2018-03,10437,Sunray 2,SUN,Solar,CA,California,PV,4494.02,megawatthours
2020-11,10437,Sunray 2,SUN,Solar,CA,California,PV,3540.87,megawatthours
2020-03,10437,Sunray 2,SUN,Solar,CA,California,PV,4015.1,megawatthours
2020-12,10437,Sunray 2,SUN,Solar,CA,California,PV,2803.48,megawatthours
2019-01,10437,Sunray 2,SUN,Solar,CA,California,PV,2726.47,megawatthours
2018-12,10437,Sunray 2,SUN,Solar,CA,California,PV,2591.85,megawatthours
2018-09,10437,Sunray 2,SUN,Solar,CA,California,PV,6011.74,megawatthours
2018-11,10437,Sunray 2,SUN,Solar,CA,California,PV,3257.94,megawatthours
2018-08,10437,Sunray 2,SUN,Solar,CA,California,PV,6350.61,megawatthours
2018-01,10437,Sunray 2,SUN,Solar,CA,California,PV,2792.09,megawatthours
2018-02,10437,Sunray 2,SUN,Solar,CA,California,PV,3930.27,megawatthours
2019-02,10437,Sunray 2,SUN,Solar,CA,California,PV,3181.32,megawatthours
2017-06,10437,Sunray 2,SUN,Solar,CA,California,PV,6524.69,megawatthours
2017-10,10437,Sunray 2,SUN,Solar,CA,California,PV,4728.07,megawatthours
2017-12,10437,Sunray 2,SUN,Solar,CA,California,PV,2770.91,megawatthours
2017-08,10437,Sunray 2,SUN,Solar,CA,California,PV,5496.26,megawatthours
2017-09,10437,Sunray 2,SUN,Solar,CA,California,PV,5132.33,megawatthours
2017-07,10437,Sunray 2,SUN,Solar,CA,California,PV,5947.33,megawatthours
