period,stateid,stateName,sector,sectorName,entityid,entityName,plantid,plantName,generatorid,technology,energy_source_code,energy.source.desc,prime_mover_code,balancing_authority_code,balancing.authority.name,status,statusDescription,county,latitude,longitude,nameplate.capacity.mw,operating.year.month,unit,nameplate.capacity.mw.units
2017-03,ID,Idaho,ipp-non-chp,IPP Non-CHP,59469,"Mt. Home Solar 1, LLC",59695,"Mt. Home Solar 1, LLC",MHPV1,Solar Photovoltaic,SUN,Solar,PV,IPCO,Idaho Power Company,OP,Operating,Elmore,43.129,-115.752,20,2017-03,,MW
2020-06,ID,Idaho,ipp-non-chp,IPP Non-CHP,59469,"Mt. Home Solar 1, LLC",59695,"Mt. Home Solar 1, LLC",MHPV1,Solar Photovoltaic,SUN,Solar,PV,IPCO,Idaho Power Company,OP,Operating,Elmore,43.129,-115.752,20,2017-03,,MW
2020-05,ID,Idaho,ipp-non-chp,IPP Non-CHP,59469,"Mt. Home Solar 1, LLC",59695,"Mt. Home Solar 1, LLC",MHPV1,Solar Photovoltaic,SUN,Solar,PV,IPCO,Idaho Power Company,OP,Operating,Elmore,43.129,-115.752,20,2017-03,,MW
2020-04,ID,Idaho,ipp-non-chp,IPP Non-CHP,59469,"Mt. Home Solar 1, LLC",59695,"Mt. Home Solar 1, LLC",MHPV1,Solar Photovoltaic,SUN,Solar,PV,IPCO,Idaho Power Company,OP,Operating,Elmore,43.129,-115.752,20,2017-03,,MW
2020-03,ID,Idaho,ipp-non-chp,IPP Non-CHP,59469,"Mt. Home Solar 1, LLC",59695,"Mt. Home Solar 1, LLC",MHPV1,Solar Photovoltaic,SUN,Solar,PV,IPCO,Idaho Power Company,OP,Operating,Elmore,43.129,-115.752,20,2017-03,,MW
2020-09,ID,Idaho,ipp-non-chp,IPP Non-CHP,59469,"Mt. Home Solar 1, LLC",59695,"Mt. Home Solar 1, LLC",MHPV1,Solar Photovoltaic,SUN,Solar,PV,IPCO,Idaho Power Company,OP,Operating,Elmore,43.129,-115.752,20,2017-03,,MW
2020-11,ID,Idaho,ipp-non-chp,IPP Non-CHP,59469,"Mt. Home Solar 1, LLC",59695,"Mt. Home Solar 1, LLC",MHPV1,Solar Photovoltaic,SUN,Solar,PV,IPCO,Idaho Power Company,OP,Operating,Elmore,43.129,-115.752,20,2017-03,,MW
2020-02,ID,Idaho,ipp-non-chp,IPP Non-CHP,59469,"Mt. Home Solar 1, LLC",59695,"Mt. Home Solar 1, LLC",MHPV1,Solar Photovoltaic,SUN,Solar,PV,IPCO,Idaho Power Company,OP,Operating,Elmore,43.129,-115.752,20,2017-03,,MW
2019-07,ID,Idaho,ipp-non-chp,IPP Non-CHP,59469,"Mt. Home Solar 1, LLC",59695,"Mt. Home Solar 1, LLC",MHPV1,Solar Photovoltaic,SUN,Solar,PV,IPCO,Idaho Power Company,OP,Operating,Elmore,43.129,-115.752,20,2017-03,,MW
2020-08,ID,Idaho,ipp-non-chp,IPP Non-CHP,59469,"Mt. Home Solar 1, LLC",59695,"Mt. Home Solar 1, LLC",MHPV1,Solar Photovoltaic,SUN,Solar,PV,IPCO,Idaho Power Company,OP,Operating,Elmore,43.129,-115.752,20,2017-03,,MW
