period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,gross.generation,gross.generation.units
2013-05,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1692.99,megawatthours
2019-08,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1720.76,megawatthours
2020-10,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,983.87,megawatthours
2019-09,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1420.43,megawatthours
2016-06,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,210.17,megawatthours
2019-07,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1690.36,megawatthours
2020-07,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1643.94,megawatthours
2016-05,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,199.81,megawatthours
2015-12,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,245.11,megawatthours
2015-11,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,184.97,megawatthours
2020-08,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1339.85,megawatthours
2020-05,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1636.1,megawatthours
2020-04,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1408.97,megawatthours
2020-06,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1586.18,megawatthours
2019-10,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1396.22,megawatthours
2020-01,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,781.23,megawatthours
2019-12,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,632.52,megawatthours
2019-06,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1785.83,megawatthours
2019-04,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1491.29,megawatthours
2019-05,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1587.67,megawatthours
2019-03,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1266.79,megawatthours
2020-09,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1305.78,megawatthours
2020-02,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,822.95,megawatthours
2014-05,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1589.82,megawatthours
2019-11,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,867.77,megawatthours
2018-07,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1644.9,megawatthours
2018-10,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1177.01,megawatthours
2018-06,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1887.16,megawatthours
2018-03,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1257.4,megawatthours
2018-02,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,972.39,megawatthours
2018-04,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1523.85,megawatthours
2018-05,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1756.06,megawatthours
2020-11,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,847.83,megawatthours
2020-12,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,640.6,megawatthours
