GEOID,year,month,smoke_days,total_pm
04001970300,2013,03,1,0.4754791
04001970300,2013,04,1,1.173682
04001970300,2013,05,1,4.005845
04001970300,2013,06,12,46.9040758
04001970300,2013,07,7,14.29397871
04001970300,2013,08,1,1.97483
04001970300,2014,05,6,14.971
04001970300,2014,06,8,26.4189212
04001970300,2014,07,3,0.0670837057
04001970300,2014,10,2,0.7686739
04001970300,2014,11,2,1.51245723
04001970300,2015,02,1,0.8931898
04001970300,2015,04,2,2.5659047
04001970300,2015,06,7,32.31263
04001970300,2015,08,3,6.880776
04001970300,2015,09,4,3.575949311
04001970300,2015,12,1,0.01967069
04001970300,2016,03,2,0.125263437
04001970300,2016,04,2,4.492099
04001970300,2016,05,10,13.6017537
04001970300,2016,06,16,60.358259843
04001970300,2016,07,2,0.0015724993
04001970300,2016,08,4,2.6942981409
04001970300,2016,09,4,5.702488967
04001970300,2016,10,4,3.53946917
04001970300,2016,11,1,1.418069
04001970300,2017,03,2,0.7994924
04001970300,2017,04,2,1.29654492
04001970300,2017,05,6,21.644073
04001970300,2017,06,17,70.2730845008
04001970300,2017,07,5,28.813913305
04001970300,2017,08,2,3.621414
04001970300,2017,09,5,27.152881
04001970300,2017,10,8,13.4932248223
04001970300,2017,11,10,12.8122381157
04001970300,2018,04,9,8.4992472373
04001970300,2018,06,3,0.697364592
04001970300,2018,07,6,17.755773
04001970300,2018,08,13,40.9179591
04001970300,2018,09,5,12.426086
04001970300,2018,10,1,0.04177892
04001970300,2018,11,8,7.9576228
04001970300,2019,04,2,0.23498394
04001970300,2019,06,17,48.664759142
04001970300,2019,07,11,16.5091413427
04001970300,2019,08,1,1.012498
04001970300,2019,09,1,0.8709426
04001970300,2019,10,10,10.86106523
04001970300,2019,11,11,25.34856232
04001970300,2020,06,21,85.977906709
04001970300,2020,07,4,1.89620082
04001970300,2020,08,20,120.1564658399
04001970300,2020,09,19,123.564704
04001970300,2020,10,15,72.066916
04001970300,2020,11,1,1.52467
04001970300,2020,12,1,1.286411
04003000201,2013,05,2,1.4741344
04003000201,2013,06,8,50.4522183
04003000201,2013,07,6,21.97274136
04003000201,2013,08,1,2.132165
04003000201,2014,05,4,6.765566010964
04003000201,2014,06,4,6.1218878124
04003000201,2014,07,3,0.752781825
04003000201,2014,09,1,0.07663738
04003000201,2015,04,1,0.002412308
04003000201,2015,05,2,1.536402481
04003000201,2015,06,7,17.80315564
04003000201,2015,08,2,0.70061052
04003000201,2016,03,4,4.4541331
04003000201,2016,05,2,0.97107895
04003000201,2016,06,7,21.41911590369
04003000201,2016,07,1,2.429537
04003000201,2016,08,1,0.9706649
04003000201,2017,03,3,10.068241
04003000201,2017,04,3,6.304947
04003000201,2017,05,4,1.2600795396
04003000201,2017,06,19,81.57896514
04003000201,2017,07,6,22.9026676
04003000201,2017,08,2,1.13863876
04003000201,2017,09,3,13.272456627
04003000201,2017,10,1,1.567068
04003000201,2018,02,1,0.2891331
04003000201,2018,03,2,2.801694
04003000201,2018,04,1,2.987615
04003000201,2018,05,1,4.407791
04003000201,2018,07,3,1.30600612
04003000201,2018,08,9,15.312626853
04003000201,2018,11,3,2.6620233
04003000201,2019,03,1,0.06006356
04003000201,2019,05,1,0.982286
04003000201,2019,06,12,11.1708776729
04003000201,2019,07,1,1.624725
04003000201,2019,08,1,0.06577002
04003000201,2019,09,1,0.0001371803
04003000201,2019,10,2,3.0546989445
04003000201,2019,11,2,3.2793423
04003000201,2020,05,2,0.787307541
04003000201,2020,06,16,89.91120751127
04003000201,2020,07,1,2.152913
04003000201,2020,08,14,111.495096
04003000201,2020,09,21,117.8800573694
04003000201,2020,10,15,68.095695
04003000201,2020,11,1,3.179341
04003000203,2013,05,4,2.56167969
04003000203,2013,06,10,47.9592684
04003000203,2013,07,5,20.543655
04003000203,2013,08,1,2.297301
04003000203,2014,05,2,3.563327
04003000203,2014,06,5,3.3187970249
04003000203,2014,07,2,0.7384361
04003000203,2014,09,1,0.06245995
04003000203,2015,06,4,11.7707934
04003000203,2015,08,2,2.9830982
04003000203,2016,03,1,0.2789099
04003000203,2016,04,1,0.7924853
04003000203,2016,05,3,4.8133253
04003000203,2016,06,4,14.608631
04003000203,2016,07,1,2.126571
04003000203,2016,08,1,0.9591037
04003000203,2017,03,2,1.715146
04003000203,2017,04,3,9.7354188
04003000203,2017,05,1,1.692086
04003000203,2017,06,18,74.49346822
04003000203,2017,07,5,18.0554451
04003000203,2017,08,2,2.8428847
04003000203,2017,09,3,14.078393
04003000203,2017,10,1,1.417843
04003000203,2018,02,1,3.149601
04003000203,2018,03,2,3.718556
04003000203,2018,04,1,0.3051448
04003000203,2018,05,1,4.67642
04003000203,2018,06,1,0.3344941
04003000203,2018,07,4,1.15788258
04003000203,2018,08,8,12.4493112
04003000203,2018,11,3,5.735198
04003000203,2019,05,1,0.1543098
04003000203,2019,06,12,10.650469767
04003000203,2019,07,2,1.8685033
04003000203,2019,08,1,0.0140912
04003000203,2019,10,2,2.7727741659
04003000203,2019,11,2,0.822638
04003000203,2020,04,1,1.975538
04003000203,2020,05,2,1.8074711
04003000203,2020,06,11,50.35880573
04003000203,2020,07,1,2.14604
04003000203,2020,08,13,97.576419
04003000203,2020,09,21,121.2750951763
04003000203,2020,10,15,62.4499758
04003000203,2020,11,1,4.826748
04003001401,2013,02,2,2.07806286
04003001401,2013,05,5,7.9247632613
04003001401,2013,06,5,29.359134
04003001401,2013,07,5,18.749235
04003001401,2013,08,1,2.553874
04003001401,2014,04,1,1.441075
04003001401,2014,05,2,2.95371868
04003001401,2014,06,4,9.1351445
04003001401,2014,07,2,1.374621
04003001401,2015,06,2,6.240952
04003001401,2015,08,1,1.582761
04003001401,2016,03,1,0.3817752
04003001401,2016,05,2,2.22741281
04003001401,2016,06,6,24.380382831
04003001401,2016,07,1,1.564719
04003001401,2016,08,1,0.7929434
04003001401,2017,03,3,8.356333
04003001401,2017,04,2,3.86205697
04003001401,2017,05,1,1.507369
04003001401,2017,06,10,43.798426
04003001401,2017,07,1,5.673398
04003001401,2017,08,2,2.9663023
04003001401,2017,09,4,13.607905
04003001401,2017,10,1,1.718555
04003001401,2018,01,1,2.950355
04003001401,2018,02,1,2.366241
04003001401,2018,03,1,3.759636
04003001401,2018,06,2,10.097467
04003001401,2018,07,1,1.003884
04003001401,2018,08,6,9.4316593
04003001401,2018,11,1,1.482816
04003001401,2019,02,1,1.524127
04003001401,2019,03,2,5.796385
04003001401,2019,06,6,6.607616358
04003001401,2019,07,2,2.5784744
04003001401,2019,10,1,2.279424
04003001401,2020,02,1,1.453245
04003001401,2020,06,7,22.0019068
04003001401,2020,07,1,2.423949
04003001401,2020,08,13,73.221397
04003001401,2020,09,20,119.958317
04003001401,2020,10,13,50.50895556971
04012020100,2013,05,2,0.06615688
04012020100,2013,06,8,28.04976057342
04012020100,2013,07,9,40.282327263
04012020100,2013,10,1,0.1749182
04012020100,2014,01,1,0.02306206
04012020100,2014,02,1,0.2558241
04012020100,2014,04,1,0.2482721
04012020100,2014,05,2,5.61916
04012020100,2014,08,1,0.0001952769
04012020100,2014,10,2,0.0084378251
04012020100,2015,04,2,5.95903
04012020100,2015,06,11,27.54497896
04012020100,2015,07,1,0.1442636
04012020100,2015,08,1,4.646759
04012020100,2016,04,1,0.06957437
04012020100,2016,05,4,3.0786860789
04012020100,2016,06,9,7.277619607
04012020100,2016,07,3,0.511038975
04012020100,2016,08,6,16.1559225
04012020100,2016,11,1,0
04012020100,2017,06,8,16.34204984
04012020100,2017,07,2,0.98687832
04012020100,2017,08,3,7.343327448
04012020100,2017,09,4,18.20469
04012020100,2017,10,4,2.10141408
04012020100,2018,01,2,0.00135270083
04012020100,2018,02,1,0.1423025
04012020100,2018,03,1,0.232781
04012020100,2018,04,1,0.0008706031
04012020100,2018,05,1,0.1728807
04012020100,2018,06,4,1.75424237
04012020100,2018,07,4,5.96094687
04012020100,2018,08,9,28.3452043
04012020100,2018,11,1,4.209621
04012020100,2019,01,1,0.0003223376
04012020100,2019,02,1,7.397447e-05
04012020100,2019,03,1,0.0001035217
04012020100,2019,04,1,7.23239e-05
04012020100,2019,06,6,2.780591570191
04012020100,2019,07,3,1.8290141709
04012020100,2019,09,2,3.279702
04012020100,2019,10,5,4.00030276745
04012020100,2019,11,1,0.007834642
04012020100,2019,12,1,3.259054
04012020100,2020,02,3,0.412992796
04012020100,2020,06,7,7.38861802
04012020100,2020,07,4,5.39357169
04012020100,2020,08,19,99.924073
04012020100,2020,09,23,148.428404
04012020100,2020,10,16,79.398866
04013050603,2013,01,1,0.0180625
04013050603,2013,05,5,6.27853114
04013050603,2013,06,5,26.9597106
04013050603,2013,07,6,32.165097
04013050603,2014,01,2,0.019982066
04013050603,2014,02,2,0.016407546
04013050603,2014,03,1,1.7376
04013050603,2014,05,4,5.492872
04013050603,2014,07,1,0.0121859
04013050603,2014,08,1,0.2265204
04013050603,2014,10,1,0.5243293
04013050603,2015,01,1,0.01539832
04013050603,2015,04,2,3.2661967
04013050603,2015,06,7,12.73382756
04013050603,2015,08,1,2.627834
04013050603,2015,12,1,0.05476769
04013050603,2016,02,1,0.01781698
04013050603,2016,03,1,0.0002592217
04013050603,2016,05,3,2.5970853123
04013050603,2016,06,9,9.84088183
04013050603,2016,08,5,12.055421
04013050603,2017,01,1,0.02806143
04013050603,2017,06,9,19.1474480497126
04013050603,2017,07,1,0.1729749
04013050603,2017,08,2,7.078909
04013050603,2017,09,3,16.057190007
04013050603,2017,10,4,2.4735992
04013050603,2017,11,1,0.03288696
04013050603,2018,01,2,0.045711049
04013050603,2018,04,1,0.1480353
04013050603,2018,05,2,5.5817452
04013050603,2018,06,1,0.03245551
04013050603,2018,07,1,3.411513
04013050603,2018,08,8,25.990754
04013050603,2018,11,2,5.50596067
04013050603,2018,12,1,0.03672177
04013050603,2019,01,1,0.008532804
04013050603,2019,06,4,5.108142742
04013050603,2019,09,1,0.003557949
04013050603,2019,10,3,7.29613
04013050603,2020,01,1,0.006297196
04013050603,2020,05,1,1.246848
04013050603,2020,06,4,1.3096074796352
04013050603,2020,07,2,1.173101375
04013050603,2020,08,17,86.465485528
04013050603,2020,09,23,155.99369247
04013050603,2020,10,17,75.4818569
04013050604,2013,05,2,5.61838
04013050604,2013,06,4,24.624733
04013050604,2013,07,6,31.655745
04013050604,2014,03,1,0.8805645
04013050604,2014,05,4,5.711933368
04013050604,2015,04,2,2.4993306
04013050604,2015,06,6,12.68974609
