sector,entityid,entityName,plantid,balancing_authority_code,balancing.authority.name,status,latitude,longitude,gen_cap,operating.year.month
ipp-non-chp,59469,"Mt. Home Solar 1, LLC",59695,IPCO,Idaho Power Company,OP,43.129,-115.752,20,2017-03
ipp-non-chp,59755,"Murphy Flat Power, LLC",60009,IPCO,Idaho Power Company,OP,43.213,-116.439,20,2017-04
ipp-non-chp,59756,"Orchard Ranch Solar, LLC",60010,IPCO,Idaho Power Company,OP,43.467,-116.285,20,2017-03
ipp-non-chp,59757,American Falls Solar LLC,60011,IPCO,Idaho Power Company,OP,42.824,-112.752,20,2017-03
ipp-non-chp,59758,"American Falls Solar II, LLC",60012,IPCO,Idaho Power Company,OP,42.824,-112.752,20,2017-03
ipp-non-chp,59806,"Grand View PV Solar Two, LLC",60068,IPCO,Idaho Power Company,OP,42.989614,-116.093431,80,2016-12
ipp-non-chp,61060,Cypress Creek Renewables,60445,IPCO,Idaho Power Company,OP,43.444,-116.333,40,2016-08
ipp-non-chp,60448,Simcoe Solar,60748,IPCO,Idaho Power Company,OP,43.288439,-115.955371,20,2017-03
industrial-non-chp,57449,Borrego Solar Systems Inc,62151,IPCO,Idaho Power Company,OP,42.540968,-114.412523,2,2019-06
ipp-non-chp,60496,Enerparc Inc.,61289,NWMT,NorthWestern Energy (NWMT),OP,45.703779,-109.565219,2,2017-04
ipp-non-chp,60496,Enerparc Inc.,61290,NWMT,NorthWestern Energy (NWMT),OP,45.730113,-107.632624,3,2017-04
ipp-non-chp,60496,Enerparc Inc.,61291,NWMT,NorthWestern Energy (NWMT),OP,46.694488,-112.063623,3,2017-04
ipp-non-chp,60496,Enerparc Inc.,61335,NWMT,NorthWestern Energy (NWMT),OP,46.805739,-112.249048,3,2017-09
ipp-non-chp,60496,Enerparc Inc.,61336,NWMT,NorthWestern Energy (NWMT),OP,47.547466,-111.253974,3,2017-09
ipp-non-chp,60496,Enerparc Inc.,61337,NWMT,NorthWestern Energy (NWMT),OP,46.291439,-108.937935,3,2017-09
ipp-non-chp,17650,Southern Power Co,57243,WACM,Western Area Power Administration - Rocky Mountain Region,OP,36.468078,-104.635659,30.6,2010-12
ipp-non-chp,59400,NRG Solar Roadrunner,57338,EPE,El Paso Electric Company,OP,31.792778,-106.673333,20.2,2011-08
ipp-non-chp,56706,Chevron Technology Ventures,57369,PNM,Public Service Company of New Mexico,OP,36.716944,-105.60944,1,2011-01
electric-utility,59300,PNM Resources,57567,PNM,Public Service Company of New Mexico,OP,35.168957,-106.60005,2,2011-04
electric-utility,59300,PNM Resources,57571,PNM,Public Service Company of New Mexico,OP,34.833136,-106.772413,7,2011-06
electric-utility,59300,PNM Resources,57575,PNM,Public Service Company of New Mexico,OP,32.165833,-107.75056,9,2011-08
electric-utility,59300,PNM Resources,57576,PNM,Public Service Company of New Mexico,OP,35.643333,-105.206667,5,2011-11
electric-utility,59300,PNM Resources,57577,PNM,Public Service Company of New Mexico,OP,32.86571,-105.999775,5,2011-10
ipp-non-chp,56926,"Hatch Solar Energy Center I, LLC",57591,EPE,El Paso Electric Company,OP,32.63,-107.259722,5,2011-06
ipp-non-chp,57055,"SunE SPS1, LLC",57736,SWPP,Southwest Power Pool,OP,32.12743,-103.137825,10,2011-09
ipp-non-chp,57056,"SunE SPS2, LLC",57737,SWPP,Southwest Power Pool,OP,32.183611,-103.183056,10,2011-09
ipp-non-chp,57057,"SunE SPS3, LLC",57738,SWPP,Southwest Power Pool,OP,32.469722,-103.323333,10,2011-11
ipp-non-chp,57059,"SunE SPS4, LLC",57739,SWPP,Southwest Power Pool,OP,32.681944,-103.303611,10.1,2011-12
ipp-non-chp,57058,"SunE SPS5, LLC",57740,SWPP,Southwest Power Pool,OP,32.345556,-104.234722,10.1,2011-12
ipp-non-chp,57361,SunE EPE2 LLC,57985,EPE,El Paso Electric Company,OP,32.251667,-106.913333,12,2012-05
ipp-non-chp,57360,SunE EPE1 LLC,57986,EPE,El Paso Electric Company,OP,32.034383,-106.340986,10,2012-06
ipp-non-chp,57390,Siemens Government Technologies Inc,58010,EPE,El Paso Electric Company,OP,32.395833,-106.47722,4.6,2012-12
ipp-non-chp,57081,"WGL Energy Systems, Inc",58240,PNM,Public Service Company of New Mexico,OP,36.966667,-105.438056,1.3,2012-06
electric-utility,11204,Los Alamos County,58256,PNM,Public Service Company of New Mexico,OP,35.875556,-106.31,1,2012-09
ipp-non-chp,58465,"Green States Energy, Inc.",58479,SWPP,Southwest Power Pool,OP,33.351111,-104.506944,2,2013-06
electric-utility,59300,PNM Resources,58520,PNM,Public Service Company of New Mexico,OP,32.976389,-105.971111,8,2013-12
electric-utility,59300,PNM Resources,58521,PNM,Public Service Company of New Mexico,OP,34.746667,-106.654444,8.4,2013-10
ipp-non-chp,58509,"Affordable Solar Silver City, LLC",58540,PNM,Public Service Company of New Mexico,OP,32.713889,-108.248056,1,2013-06
ipp-non-chp,58465,"Green States Energy, Inc.",58576,SWPP,Southwest Power Pool,OP,33.3,-104.4,2.3,2011-05
ipp-non-chp,57081,"WGL Energy Systems, Inc",58588,PNM,Public Service Company of New Mexico,OP,35.313333,-106.657778,1,2013-11
ipp-non-chp,57081,"WGL Energy Systems, Inc",58589,PNM,Public Service Company of New Mexico,OP,35.264444,-106.667778,1,2013-11
ipp-non-chp,58621,"SSA Solar of NM, LLC",58689,PNM,Public Service Company of New Mexico,OP,36.907778,-105.985278,1.3,2012-10
ipp-non-chp,58681,MSM Solar LLC,58794,PNM,Public Service Company of New Mexico,OP,35.656944,-105.183889,1.9,2014-05
electric-utility,15473,Public Service Co of NM,58899,PNM,Public Service Company of New Mexico,OP,35.001944,-106.637222,0.5,2011-09
ipp-non-chp,17650,Southern Power Co,59010,EPE,El Paso Electric Company,OP,32.57,-107.48,52.2,2014-05
ipp-non-chp,59991,"Caprock Solar 1, LLC",59251,SWPP,Southwest Power Pool,OP,34.982778,-103.378333,25,2016-12
ipp-non-chp,59171,"Suncore Photovoltaics, Inc",59393,PNM,Public Service Company of New Mexico,OP,35.049167,-106.53,2,2013-11
electric-utility,59300,PNM Resources,59558,PNM,Public Service Company of New Mexico,OP,35.283611,-106.812778,6.1,2014-12
electric-utility,17826,"Springer Electric Coop, Inc",59560,PNM,Public Service Company of New Mexico,OP,36.398056,-104.594167,1,2015-05
electric-utility,59300,PNM Resources,59618,PNM,Public Service Company of New Mexico,OP,34.81,-106.52,9.1,2015-01
electric-utility,59300,PNM Resources,59619,PNM,Public Service Company of New Mexico,OP,35.20115,-107.245156,7.6,2015-02
ipp-non-chp,59424,"SSA Solar of NM 4, LLC",59653,PNM,Public Service Company of New Mexico,OP,33.121111,-107.287778,1.9,2015-02
electric-utility,59300,PNM Resources,60195,PNM,Public Service Company of New Mexico,OP,34.986073,-106.736129,10,2015-12
electric-utility,59300,PNM Resources,60196,PNM,Public Service Company of New Mexico,OP,35.587795,-106.060859,9.5,2015-12
electric-utility,59300,PNM Resources,60197,PNM,Public Service Company of New Mexico,OP,35.029719,-106.855498,10.5,2015-12
electric-utility,59300,PNM Resources,60198,PNM,Public Service Company of New Mexico,OP,34.582598,-106.682975,10,2015-12
ipp-non-chp,60046,"TPE Alta Luna, LLC",60258,PNM,Public Service Company of New Mexico,OP,32.572022,-107.486458,28.1,2017-01
electric-utility,5701,El Paso Electric Co,60301,EPE,El Paso Electric Company,OP,32.921261,-106.072411,5,2018-10
ipp-non-chp,60127,"SSA Solar of NM 3, LLC",60341,PNM,Public Service Company of New Mexico,OP,33.1526,-107.249831,1,2015-09
ipp-non-chp,60208,Chaves Solar LLC,60405,SWPP,Southwest Power Pool,OP,33.45,-104.456,70,2016-10
ipp-non-chp,60209,"Roswell Solar, LLC",60406,SWPP,Southwest Power Pool,OP,33.45293,-104.461074,70,2016-08
ipp-non-chp,61724,New Mexico Renewable Development LLC,61165,PNM,Public Service Company of New Mexico,OP,31.86673,-107.587513,1.9,2017-12
ipp-non-chp,61156,"NMRD Data Center, LLC",61556,PNM,Public Service Company of New Mexico,OP,34.831,-106.762,10,2017-12
ipp-non-chp,61156,"NMRD Data Center, LLC",61557,PNM,Public Service Company of New Mexico,OP,35.08,-106.865,10,2018-02
ipp-non-chp,61156,"NMRD Data Center, LLC",61558,PNM,Public Service Company of New Mexico,OP,35.075,-106.865,10,2018-04
ipp-non-chp,60520,SoCore Energy LLC,61662,PNM,Public Service Company of New Mexico,OP,33.610306,-105.747825,3,2018-03
ipp-non-chp,60584,Onyx Asset Services Group,61681,SWPP,Southwest Power Pool,OP,32.978636,-103.371284,5,2017-11
ipp-non-chp,61685,"Syncarpha Eagle Nest I, LLC",62149,PNM,Public Service Company of New Mexico,OP,36.544166,-105.2772,1,2018-11
ipp-non-chp,61724,New Mexico Renewable Development LLC,62191,PNM,Public Service Company of New Mexico,OP,34.783205,-106.051092,2,2018-10
ipp-non-chp,60531,Standard Solar,62406,PNM,Public Service Company of New Mexico,OP,35.52236,-108.778791,8,2018-05
electric-utility,59300,PNM Resources,62467,PNM,Public Service Company of New Mexico,OP,34.741,-106.655,10,2019-03
electric-utility,59300,PNM Resources,62597,PNM,Public Service Company of New Mexico,OP,34.692,-106.688,10,2019-06
ipp-non-chp,62655,RC Energy AA LLC,62756,PNM,Public Service Company of New Mexico,OP,35.152721,-106.547222,1,2011-01
ipp-non-chp,62842,"Lightsource Renewable Energy Asset Management, LLC",62994,PNM,Public Service Company of New Mexico,OP,35.24,-107.946,2.4,2019-12
ipp-non-chp,62842,"Lightsource Renewable Energy Asset Management, LLC",62995,PNM,Public Service Company of New Mexico,OP,35.14,-107.821,4.5,2019-12
electric-utility,59300,PNM Resources,63081,PNM,Public Service Company of New Mexico,OP,35.63457,-105.1784,10,2019-09
electric-utility,59300,PNM Resources,63082,PNM,Public Service Company of New Mexico,OP,35.63471,-105.1732,10,2019-10
ipp-non-chp,62905,"Syncarpha Taos I, LLC",63123,PNM,Public Service Company of New Mexico,OP,36.371326,-105.660152,3.1,2020-05
ipp-non-chp,62904,"Syncarpha El Rito I, LLC",63124,PNM,Public Service Company of New Mexico,OP,36.331724,-106.190105,1.6,2019-12
ipp-non-chp,62906,"Syncarpha Questa I, LLC",63125,PNM,Public Service Company of New Mexico,OP,36.810668,-105.588421,1.6,2020-01
electric-utility,59300,PNM Resources,63184,PNM,Public Service Company of New Mexico,OP,35.10476,-106.48237,10,2019-12
ipp-non-chp,61724,New Mexico Renewable Development LLC,63391,PNM,Public Service Company of New Mexico,OP,35.179889,-106.806583,1.2,2019-09
ipp-non-chp,63213,Jemez Cuba LLC,63477,PNM,Public Service Company of New Mexico,OP,36.091143,-106.040879,2.4,2020-02
ipp-non-chp,61156,"NMRD Data Center, LLC",63579,PNM,Public Service Company of New Mexico,OP,35.016,-106.098,50,2019-12
ipp-non-chp,61156,"NMRD Data Center, LLC",63860,PNM,Public Service Company of New Mexico,OP,35.354,-106.858,55,2020-07
ipp-non-chp,50131,Enel Stillwater LLC,50765,NEVP,Nevada Power Company,OP,39.547537,-118.555613,22,2012-04
industrial-non-chp,55710,Barrick Goldstrike Mines Inc,56500,NEVP,Nevada Power Company,OP,39.5603,-119.5108,1,2007-12
commercial-non-chp,56203,Solar Star NAFB LLC,56568,NEVP,Nevada Power Company,OP,36.260278,-115.0544,14,2007-10
