sector,entityid,entityName,plantid,balancing_authority_code,balancing.authority.name,status,gen_cap,operating.year.month,geometry,intersection,geoid
ipp-non-chp,59469,"Mt. Home Solar 1, LLC",59695,IPCO,Idaho Power Company,OP,20,2017-03,-115.752|43.129,10834,16039960400
ipp-non-chp,59755,"Murphy Flat Power, LLC",60009,IPCO,Idaho Power Company,OP,20,2017-04,-116.439|43.213,10896,16073950200
ipp-non-chp,59756,"Orchard Ranch Solar, LLC",60010,IPCO,Idaho Power Company,OP,20,2017-03,-116.285|43.467,10819,16001010501
ipp-non-chp,59757,American Falls Solar LLC,60011,IPCO,Idaho Power Company,OP,20,2017-03,-112.752|42.824,11073,16077960200
ipp-non-chp,59758,"American Falls Solar II, LLC",60012,IPCO,Idaho Power Company,OP,20,2017-03,-112.752|42.824,11073,16077960200
ipp-non-chp,59806,"Grand View PV Solar Two, LLC",60068,IPCO,Idaho Power Company,OP,80,2016-12,-116.093431|42.989614,10896,16073950200
ipp-non-chp,61060,Cypress Creek Renewables,60445,IPCO,Idaho Power Company,OP,40,2016-08,-116.333|43.444,10819,16001010501
ipp-non-chp,60448,Simcoe Solar,60748,IPCO,Idaho Power Company,OP,20,2017-03,-115.955371|43.288439,10833,16039960200
industrial-non-chp,57449,Borrego Solar Systems Inc,62151,IPCO,Idaho Power Company,OP,2,2019-06,-114.412523|42.540968,10940,16083000600
ipp-non-chp,60496,Enerparc Inc.,61289,NWMT,NorthWestern Energy (NWMT),OP,2,2017-04,-109.565219|45.703779,11377,30097967000
ipp-non-chp,60496,Enerparc Inc.,61290,NWMT,NorthWestern Energy (NWMT),OP,3,2017-04,-107.632624|45.730113,11300,30003000100
ipp-non-chp,60496,Enerparc Inc.,61291,NWMT,NorthWestern Energy (NWMT),OP,3,2017-04,-112.063623|46.694488,11270,30049000501
ipp-non-chp,60496,Enerparc Inc.,61335,NWMT,NorthWestern Energy (NWMT),OP,3,2017-09,-112.249048|46.805739,11120,30049000200
ipp-non-chp,60496,Enerparc Inc.,61336,NWMT,NorthWestern Energy (NWMT),OP,3,2017-09,-111.253974|47.547466,11137,30013010100
ipp-non-chp,60496,Enerparc Inc.,61337,NWMT,NorthWestern Energy (NWMT),OP,3,2017-09,-108.937935|46.291439,11312,30037000100
ipp-non-chp,17650,Southern Power Co,57243,WACM,Western Area Power Administration - Rocky Mountain Region,OP,30.6,2010-12,-104.635659|36.468078,12087,35007950700
ipp-non-chp,59400,NRG Solar Roadrunner,57338,EPE,El Paso Electric Company,OP,20.2,2011-08,-106.673333|31.792778,12479,35013001701
ipp-non-chp,56706,Chevron Technology Ventures,57369,PNM,Public Service Company of New Mexico,OP,1,2011-01,-105.60944|36.716944,12106,35055952300
electric-utility,59300,PNM Resources,57567,PNM,Public Service Company of New Mexico,OP,2,2011-04,-106.60005|35.168957,12389,35001003736
