period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,gross.generation,gross.generation.units,sector,entityid,entityName,balancing_authority_code,balancing.authority.name,status,gen_cap,operating.year.month,geometry,intersection,geoid,long,lat
2013-05,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1692.99,megawatthours,ipp-non-chp,54902,SunE Alamosa1 LLC,PSCO,Public Service Company of Colorado,OP,8.2,2007-12,-105.880501|37.690304,10065,08003960000,-105.880501,37.690304
2013-04,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,119.34,megawatthours,ipp-non-chp,56026,MMA DAS Power,PSCO,Public Service Company of Colorado,OP,1.9,2008-09,-104.697149|39.836789,10149,08031980000,-104.697149,39.836789
2013-04,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,237.37,megawatthours,ipp-non-chp,56431,SunE U6 Holdings LLC,PSCO,Public Service Company of Colorado,OP,1.5,2009-02,-107.81341|39.522904,9788,08045952002,-107.81341,39.522904
2013-04,57141,RV CSU Power LLC,SUN,Solar,CO,Colorado,PV,275.31,megawatthours,commercial-non-chp,56493,RV CSU Power LLC,PSCO,Public Service Company of Colorado,OP,1.9,2009-12,-105.145904|40.591099,9928,08069002300,-105.145904,40.591099
2013-04,57317,San Luis Valley Solar Ranch,SUN,Solar,CO,Colorado,PV,6710,megawatthours,ipp-non-chp,15399,Avangrid Renewables LLC,PSCO,Public Service Company of Colorado,OP,35,2011-12,-105.927622|37.694535,10065,08003960000,-105.927622,37.694535
2013-04,57368,Cogentrix of Alamosa,SUN,Solar,CO,Colorado,PV,4580.81,megawatthours,ipp-non-chp,56696,Alamosa Operating Services LLC,PSCO,Public Service Company of Colorado,OP,30,2012-04,-105.955832|37.598579,10065,08003960000,-105.955832,37.598579
2013-05,57377,Greater Sandhill I,SUN,Solar,CO,Colorado,PV,4793.07,megawatthours,ipp-non-chp,56720,Greater Sandhill I LLC,PSCO,Public Service Company of Colorado,OP,19,2010-09,-105.8909|37.685467,10065,08003960000,-105.8909,37.685467
2013-04,57507,RV CSU Power II LLC,SUN,Solar,CO,Colorado,PV,371.73,megawatthours,commercial-non-chp,56828,RV CSU Power II LLC,PSCO,Public Service Company of Colorado,OP,3,2010-12,-105.147097|40.592841,9928,08069002300,-105.147097,40.592841
2013-04,57509,Carson Solar I,SUN,Solar,CO,Colorado,PV,203.17,megawatthours,ipp-non-chp,56830,Carson Solar 1 LLC,WACM,Western Area Power Administration - Rocky Mountain Region,OP,2,2007-12,-104.7817|38.7228,10029,08041004403,-104.7817,38.7228
2013-04,57554,AFA Solar Farm,SUN,Solar,CO,Colorado,PV,920.32,megawatthours,ipp-non-chp,56892,Solar Star Colorado II LLC,WACM,Western Area Power Administration - Rocky Mountain Region,OP,5.5,2011-03,-104.806627|38.957901,10008,08041003802,-104.806627,38.957901
2013-04,57645,City & County of Denver at Denver Int'l,SUN,Solar,CO,Colorado,PV,617.47,megawatthours,ipp-non-chp,56974,"Denver Airport Solar, LLC",PSCO,Public Service Company of Colorado,OP,3.4,2011-06,-104.654183|39.904133,10149,08031980000,-104.654183,39.904133
2013-04,57681,City of Boulder WWTP,SUN,Solar,CO,Colorado,PV,120.55,megawatthours,ipp-non-chp,57005,"SunE NLB-2, LLC",PSCO,Public Service Company of Colorado,OP,1,2010-06,-105.180327|40.048025,10470,08013012707,-105.180327,40.048025
2013-05,57692,DOE Golden NWTC Load Side,SUN,Solar,CO,Colorado,PV,170.53,megawatthours,commercial-non-chp,57017,DOE National Renewable Energy Laboratory,PSCO,Public Service Company of Colorado,OP,1.1,2009-10,-105.2318|39.909,10151,08059060500,-105.2318,39.909
2019-01,57693,DOE Golden NWTC Research Side Hybrid,SUN,Solar,CO,Colorado,PV,26.58,megawatthours,commercial-non-chp,57017,DOE National Renewable Energy Laboratory,PSCO,Public Service Company of Colorado,OP,0.7,2019-01,-105.2153|39.9139,10151,08059060500,-105.2153,39.9139
2013-05,57694,DOE Golden NREL Main Campus,SUN,Solar,CO,Colorado,PV,242.63,megawatthours,commercial-non-chp,57017,DOE National Renewable Energy Laboratory,PSCO,Public Service Company of Colorado,OP,3.3,2008-12,-105.170993|39.740896,10531,08059010100,-105.170993,39.740896
2014-04,58481,CSU Pueblo,SUN,Solar,CO,Colorado,PV,152.29,megawatthours,commercial-non-chp,58467,"SSA Solar of CO 1, LLC",WACM,Western Area Power Administration - Rocky Mountain Region,OP,1,2008-12,-104.58|38.306111,9927,08101000903,-104.58,38.306111
2013-04,58547,SMPA Solar 1,SUN,Solar,CO,Colorado,PV,162.39,megawatthours,ipp-non-chp,58519,Clean Energy Collective LLC,PSCO,Public Service Company of Colorado,OP,1,2012-12,-108.785556|38.2725,10519,08085966100,-108.785556,38.2725
