geoidcty,period,year,month,total_gen,capacity_mw,smoke_days,total_pm,avg_pm_smoke
04001,2013-01,2013,01,533,13.4,0,0,0
04001,2013-02,2013,02,537,13.4,0,0,0
04001,2013-03,2013,03,747,13.4,1,0.4754791,0.4754791
04001,2013-04,2013,04,842,13.4,1,1.173682,1.173682
04001,2013-05,2013,05,868,13.4,1,4.005845,4.005845
04001,2013-06,2013,06,794,13.4,12,46.9040758,3.90867298333333
04001,2013-07,2013,07,624,13.4,7,14.29397871,2.04199695857143
04001,2013-08,2013,08,593,13.4,1,1.97483,1.97483
04001,2013-09,2013,09,687,13.4,0,0,0
04001,2013-10,2013,10,568,13.4,0,0,0
04001,2013-11,2013,11,568,13.4,0,0,0
04001,2013-12,2013,12,406,13.4,0,0,0
04001,2014-01,2014,01,795,13.4,0,0,0
04001,2014-02,2014,02,556,13.4,0,0,0
04001,2014-03,2014,03,691,13.4,0,0,0
04001,2014-04,2014,04,691,13.4,0,0,0
04001,2014-05,2014,05,555,13.4,6,14.971,2.49516666666667
04001,2014-06,2014,06,76,13.4,8,26.4189212,3.30236515
04001,2014-07,2014,07,1027,13.4,3,0.0670837057,0.0223612352333333
04001,2014-08,2014,08,48,13.4,0,0,0
04001,2014-09,2014,09,88,13.4,0,0,0
04001,2014-10,2014,10,50,13.4,2,0.7686739,0.38433695
04001,2014-12,2014,12,504,13.4,0,0,0
04001,2015-01,2015,01,950,13.4,0,0,0
04001,2015-02,2015,02,1163,13.4,1,0.8931898,0.8931898
04001,2015-03,2015,03,1835,13.4,0,0,0
04001,2015-04,2015,04,1548,13.4,2,2.5659047,1.28295235
04001,2015-05,2015,05,1548,13.4,0,0,0
04001,2015-06,2015,06,1644,13.4,7,32.31263,4.61609
04001,2015-07,2015,07,516,13.4,0,0,0
04001,2015-08,2015,08,1575,13.4,3,6.880776,2.293592
04001,2015-09,2015,09,1129,13.4,4,3.575949311,0.89398732775
04001,2015-10,2015,10,1035,13.4,0,0,0
04001,2015-11,2015,11,1050,13.4,0,0,0
