geoid,period,year,month,total_gen,capacity_mw,precip,tmin,tmax,tdmean,state_fips,county_fips,tract_fips,smoke_days,total_pm,total_gen_norm
04001970300,2013-01,2013,01,533,13.4,0.36,10.2,42.3,9.7,04,001,970300,0,0,39.7761194029851
04001970300,2013-02,2013,02,537,13.4,0.58,15.4,46,12.4,04,001,970300,0,0,40.0746268656716
04001970300,2013-03,2013,03,747,13.4,0.36,25.6,61.1,13.5,04,001,970300,1,0.4754791,55.7462686567164
04001970300,2013-04,2013,04,842,13.4,0.37,29.2,65.9,14.7,04,001,970300,1,1.173682,62.8358208955224
04001970300,2013-05,2013,05,868,13.4,0.06,38.1,74.4,16.9,04,001,970300,1,4.005845,64.7761194029851
04001970300,2013-06,2013,06,794,13.4,0.02,47.8,88.3,18.7,04,001,970300,12,46.9040758,59.2537313432836
04001970300,2013-07,2013,07,624,13.4,3.19,56.2,83.6,48.9,04,001,970300,7,14.29397871,46.5671641791045
04001970300,2013-08,2013,08,593,13.4,3.78,53.2,80.1,48.4,04,001,970300,1,1.97483,44.2537313432836
04001970300,2013-09,2013,09,687,13.4,1.51,46.3,76.1,42.7,04,001,970300,0,0,51.2686567164179
04001970300,2013-10,2013,10,568,13.4,0.13,29.7,66,19.9,04,001,970300,0,0,42.3880597014925
04001970300,2013-11,2013,11,568,13.4,1.06,25.9,56.4,24,04,001,970300,0,0,42.3880597014925
04001970300,2013-12,2013,12,406,13.4,0.16,16.3,46.3,13.1,04,001,970300,0,0,30.2985074626866
04001970300,2014-01,2014,01,795,13.4,0,14.6,52.8,5.6,04,001,970300,0,0,59.3283582089552
04001970300,2014-02,2014,02,556,13.4,0.14,23.7,55.7,14.8,04,001,970300,0,0,41.4925373134328
04001970300,2014-03,2014,03,691,13.4,0.78,25.6,59.9,15.8,04,001,970300,0,0,51.5671641791045
04001970300,2014-04,2014,04,691,13.4,0.23,29,65.4,12.7,04,001,970300,0,0,51.5671641791045
04001970300,2014-05,2014,05,555,13.4,0.14,35.6,72.1,16,04,001,970300,6,14.971,41.4179104477612
04001970300,2014-06,2014,06,76,13.4,0,45.9,86.2,19.2,04,001,970300,8,26.4189212,5.67164179104478
04001970300,2014-07,2014,07,1027,13.4,1.67,55.3,84.9,45.2,04,001,970300,3,0.0670837057,76.6417910447761
04001970300,2014-08,2014,08,48,13.4,2.7,51,79.5,45.8,04,001,970300,0,0,3.58208955223881
04001970300,2014-09,2014,09,88,13.4,1.4,49.8,78.2,44.8,04,001,970300,0,0,6.56716417910448
04001970300,2014-10,2014,10,50,13.4,0.8,35.2,70.4,30.4,04,001,970300,2,0.7686739,3.73134328358209
04001970300,2014-12,2014,12,504,13.4,0.97,22.7,49.3,20.2,04,001,970300,0,0,37.6119402985075
04001970300,2015-01,2015,01,950,13.4,1.26,20.8,49,21.3,04,001,970300,0,0,70.8955223880597
04001970300,2015-02,2015,02,1163,13.4,0.22,24.2,58.7,19.8,04,001,970300,1,0.8931898,86.7910447761194
04001970300,2015-03,2015,03,1835,13.4,0.49,28.1,62.3,19.7,04,001,970300,0,0,136.940298507463
04001970300,2015-04,2015,04,1548,13.4,0.29,30.1,65.1,14.8,04,001,970300,2,2.5659047,115.522388059701
04001970300,2015-05,2015,05,1548,13.4,0.59,36.1,68.9,25.4,04,001,970300,0,0,115.522388059701
04001970300,2015-06,2015,06,1644,13.4,0.93,48.7,85.7,33.6,04,001,970300,7,32.31263,122.686567164179
04001970300,2015-07,2015,07,516,13.4,4.47,53.8,80.6,48.6,04,001,970300,0,0,38.5074626865672
04001970300,2015-08,2015,08,1575,13.4,2.97,53.7,83.7,46.9,04,001,970300,3,6.880776,117.537313432836
04001970300,2015-09,2015,09,1129,13.4,1.16,48,77.8,43.2,04,001,970300,4,3.575949311,84.2537313432836
04001970300,2015-10,2015,10,1035,13.4,1.67,40.4,68.5,35.4,04,001,970300,0,0,77.2388059701493
04001970300,2015-11,2015,11,1050,13.4,0.49,25.1,55,20.1,04,001,970300,0,0,78.3582089552239
04001970300,2015-12,2015,12,689,13.4,0.62,17.3,46.6,12.3,04,001,970300,1,0.01967069,51.4179104477612
04001970300,2016-01,2016,01,708,13.4,0.15,15.6,45.6,13.4,04,001,970300,0,0,52.8358208955224
04001970300,2016-02,2016,02,1201,13.4,0.26,18.8,56,12,04,001,970300,0,0,89.6268656716418
04001970300,2016-03,2016,03,1528,13.4,0,27.3,63.2,11.4,04,001,970300,2,0.125263437,114.029850746269
04001970300,2016-04,2016,04,1416,13.4,0.64,29.2,64.3,18.8,04,001,970300,2,4.492099,105.671641791045
04001970300,2016-05,2016,05,2080,13.4,0.67,36.6,70.6,23.4,04,001,970300,10,13.6017537,155.223880597015
04001970300,2016-06,2016,06,1910,13.4,0.36,50,86.9,27.1,04,001,970300,16,60.358259843,142.537313432836
04001970300,2016-07,2016,07,2017,13.4,1.47,54.4,86.4,41.7,04,001,970300,2,0.0015724993,150.522388059701
04001970300,2016-08,2016,08,1063,13.4,2.84,51,78.7,46.7,04,001,970300,4,2.6942981409,79.3283582089552
04001970300,2016-09,2016,09,1776,13.4,0.8,44.9,77.4,36.3,04,001,970300,4,5.702488967,132.537313432836
04001970300,2016-10,2016,10,1666,13.4,0.5,37.5,73.1,28.9,04,001,970300,4,3.53946917,124.328358208955
04001970300,2016-11,2016,11,1512,13.4,1.72,27.6,58.1,24.4,04,001,970300,1,1.418069,112.835820895522
04001970300,2016-12,2016,12,432,13.4,1.53,22.2,50.6,19.5,04,001,970300,0,0,32.2388059701493
04001970300,2017-01,2017,01,1734,13.4,0.78,22.8,45.1,20.7,04,001,970300,0,0,129.402985074627
04001970300,2017-02,2017,02,1367,13.4,1.14,25.7,55.1,19.6,04,001,970300,0,0,102.014925373134
04001970300,2017-03,2017,03,2218,13.4,0.25,27.8,64.3,17.7,04,001,970300,2,0.7994924,165.522388059702
04001970300,2017-04,2017,04,2379,13.4,0.37,31.2,67.2,15.9,04,001,970300,2,1.29654492,177.537313432836
04001970300,2017-05,2017,05,2325,13.4,0.16,36.5,72,21,04,001,970300,6,21.644073,173.507462686567
04001970300,2017-06,2017,06,2526,13.4,0.35,49.6,87.4,24.2,04,001,970300,17,70.2730845008,188.507462686567
04001970300,2017-07,2017,07,1689,13.4,2.83,56.2,84.6,45,04,001,970300,5,28.813913305,126.044776119403
04001970300,2017-08,2017,08,1853,13.4,1.63,51.7,81.8,44.4,04,001,970300,2,3.621414,138.283582089552
04001970300,2017-09,2017,09,1882,13.4,0.3,45.8,79,35.9,04,001,970300,5,27.152881,140.44776119403
04001970300,2017-10,2017,10,2148,13.4,0.01,34.3,73,20,04,001,970300,8,13.4932248223,160.298507462687
04001970300,2017-11,2017,11,1516,13.4,0,29.9,66.3,17,04,001,970300,10,12.8122381157,113.134328358209
04001970300,2017-12,2017,12,1342,13.4,0,19.2,53.6,5.1,04,001,970300,0,0,100.149253731343
04001970300,2018-01,2018,01,1696,13.4,0.3,18.2,53.9,9.8,04,001,970300,0,0,126.567164179105
04001970300,2018-02,2018,02,826,13.4,1.04,22.6,52.8,15.1,04,001,970300,0,0,61.6417910447761
04001970300,2018-03,2018,03,2201,13.4,0.86,27.1,58.8,15.5,04,001,970300,0,0,164.253731343284
04001970300,2018-04,2018,04,1968,13.4,0.03,33.4,70.4,11.2,04,001,970300,9,8.4992472373,146.865671641791
04001970300,2018-05,2018,05,2855,13.4,0.1,38.3,77.2,14.6,04,001,970300,0,0,213.059701492537
04001970300,2018-06,2018,06,2670,13.4,0.41,48.5,87.8,20.7,04,001,970300,3,0.697364592,199.253731343284
04001970300,2018-07,2018,07,2238,13.4,3,55.3,85.7,44.3,04,001,970300,6,17.755773,167.014925373134
04001970300,2018-08,2018,08,2295,13.4,2.29,52.9,83.2,46.1,04,001,970300,13,40.9179591,171.268656716418
04001970300,2018-09,2018,09,2387,13.4,0.77,46.4,80.5,38.4,04,001,970300,5,12.426086,178.134328358209
04001970300,2018-10,2018,10,1554,13.4,2.09,37.2,62.4,35.5,04,001,970300,1,0.04177892,115.970149253731
