"",gen_mod1,gen_mod2,gen_mod3,gen_mod4,gen_mod5,gen_mod6
Dependent Var.:,log(total_gen),log(total_gen),log(total_gen),log(total_gen),log(total_gen),log(total_gen)
 , , , , , , 
Constant,6.794*** (0.0838),4.873*** (0.0197),3.442*** (0.0659),  ,  ,  
total_pm,7.84e-5 (0.0001),0.0002*** (2.88e-5),-0.0002*** (3.12e-5),-0.0003*** (2.84e-5),-0.0002*** (2.99e-5),-0.0003*** (3.15e-5)
log(capacity_mw),  ,1.077*** (0.0061),1.057*** (0.0063),1.049*** (0.0119),1.066*** (0.0058),1.052*** (0.0122)
tmin,  ,  ,-0.0221*** (0.0029),-0.0111*** (0.0015),-0.0137*** (0.0029),-0.0117*** (0.0021)
tmax,  ,  ,0.0331*** (0.0024),0.0251*** (0.0012),0.0144*** (0.0025),0.0126*** (0.0013)
tdmean,  ,  ,0.0019 (0.0012),0.0054*** (0.0007),-0.0031* (0.0013),-0.0002 (0.0011)
precip,  ,  ,-0.0112* (0.0048),-0.0200*** (0.0033),-0.0112* (0.0043),-0.0074** (0.0027)
Fixed-Effects:,-----------------,-------------------,--------------------,--------------------,--------------------,--------------------
geoid,No,No,No,Yes,No,Yes
month,No,No,No,No,Yes,Yes
geoid-month,No,No,No,No,No,Yes
________________,_________________,___________________,____________________,____________________,____________________,____________________
S.E.: Clustered,by: geoid,by: geoid,by: geoid,by: geoid,by: geoid,by: geoid
Observations,"35,511","35,511","35,511","35,511","35,511","35,511"
R2,2.32e-5,0.92225,0.94264,0.96422,0.95109,0.97223
Within R2,--,--,--,0.64845,0.94983,0.61691
