balancing_authority_code,longitude,latitude,geometry
AVA,-118.621244,46.95528,-118.621244|46.95528
AVRN,-120.59994,45.5846,-120.59994|45.5846
AZPS,-112.595740941397,33.446040445598,-112.595740941397|33.446040445598
BANC,-121.314572761165,38.4475732146509,-121.314572761165|38.4475732146509
BPAT,-120.362431360685,44.1264685746527,-120.362431360685|44.1264685746527
CISO,-118.696100685278,35.4111748013436,-118.696100685278|35.4111748013436
EPE,-106.623076971668,32.2224726101398,-106.623076971668|32.2224726101398
ERCO,-99.2633661505705,31.2834257147231,-99.2633661505705|31.2834257147231
IID,-115.648166881041,33.0276552594808,-115.648166881041|33.0276552594808
IPCO,-116.534131433804,43.6940838308435,-116.534131433804|43.6940838308435
LDWP,-118.104659781388,34.3997102087481,-118.104659781388|34.3997102087481
NEVP,-116.160690387561,37.0505052370286,-116.160690387561|37.0505052370286
NWMT,-110.268935957579,46.4747882775037,-110.268935957579|46.4747882775037
PACE,-112.913262133742,38.3572767280338,-112.913262133742|38.3572767280338
PACW,-121.296460458344,42.6978894601838,-121.296460458344|42.6978894601838
PGE,-122.839320604177,45.1505448178508,-122.839320604177|45.1505448178508
PNM,-106.505034130396,34.9912053411349,-106.505034130396|34.9912053411349
PS,-106.018925,37.068132,-106.018925|37.068132
PSCO,-105.306489419947,39.400670730087,-105.306489419947|39.400670730087
PSEI,-120.206494,47.036269,-120.206494|47.036269
SRP,-111.791396464435,33.194034792624,-111.791396464435|33.194034792624
SWPP,-103.919817595561,34.0865258299852,-103.919817595561|34.0865258299852
TEPC,-111.099991236636,32.5244886323821,-111.099991236636|32.5244886323821
WACM,-105.235949240976,39.6638025944052,-105.235949240976|39.6638025944052
WALC,-111.645139792312,33.9492026648267,-111.645139792312|33.9492026648267
