date,balancing_authority_code,Clear,Light,Medium,Heavy
20180630,AVA,1,0,0,0
20180630,AVRN,1,0,0,0
20180630,AZPS,1,0,0,0
20180630,BANC,1,0,0,0
20180630,BPAT,1,0,0,0
20180630,CISO,1,0,0,0
20180630,EPE,1,0,0,0
20180630,ERCO,1,0,0,0
20180630,IID,1,0,0,0
20180630,IPCO,1,0,0,0
20180630,LDWP,1,0,0,0
20180630,NEVP,1,0,0,0
20180630,NWMT,1,0,0,0
20180630,PACE,1,0,0,0
20180630,PACW,1,0,0,0
20180630,PGE,1,0,0,0
20180630,PNM,1,0,0,0
20180630,PSCO,0,1,1,0
20180630,PSEI,1,0,0,0
20180630,SRP,1,0,0,0
20180630,SWPP,1,0,0,0
20180630,TEPC,1,0,0,0
20180630,WACM,0,1,0,0
20180630,WALC,1,0,0,0
20180701,AVA,1,0,0,0
20180701,AVRN,1,0,0,0
20180701,AZPS,1,0,0,0
20180701,BANC,0,1,0,0
20180701,BPAT,1,0,0,0
20180701,CISO,1,0,0,0
20180701,EPE,1,0,0,0
20180701,ERCO,1,0,0,0
20180701,IID,1,0,0,0
20180701,IPCO,1,0,0,0
20180701,LDWP,1,0,0,0
20180701,NEVP,1,0,0,0
20180701,NWMT,1,0,0,0
20180701,PACE,1,0,0,0
20180701,PACW,1,0,0,0
20180701,PGE,1,0,0,0
20180701,PNM,0,1,0,0
20180701,PSCO,0,1,1,1
20180701,PSEI,1,0,0,0
20180701,SRP,1,0,0,0
20180701,SWPP,1,0,0,0
20180701,TEPC,1,0,0,0
20180701,WACM,0,1,1,0
20180701,WALC,1,0,0,0
20180702,AVA,1,0,0,0
20180702,AVRN,1,0,0,0
20180702,AZPS,1,0,0,0
20180702,BANC,0,1,0,0
20180702,BPAT,1,0,0,0
20180702,CISO,1,0,0,0
20180702,EPE,1,0,0,0
20180702,ERCO,1,0,0,0
20180702,IID,1,0,0,0
20180702,IPCO,1,0,0,0
20180702,LDWP,1,0,0,0
20180702,NEVP,1,0,0,0
20180702,NWMT,1,0,0,0
20180702,PACE,1,0,0,0
20180702,PACW,1,0,0,0
20180702,PGE,1,0,0,0
20180702,PNM,1,0,0,0
20180702,PSCO,0,1,1,0
20180702,PSEI,1,0,0,0
20180702,SRP,1,0,0,0
20180702,SWPP,1,0,0,0
20180702,TEPC,1,0,0,0
20180702,WACM,0,1,1,0
20180702,WALC,1,0,0,0
20180703,AVA,1,0,0,0
20180703,AVRN,1,0,0,0
20180703,AZPS,1,0,0,0
20180703,BANC,0,1,0,0
20180703,BPAT,1,0,0,0
20180703,CISO,0,1,0,0
20180703,EPE,1,0,0,0
20180703,ERCO,1,0,0,0
20180703,IID,1,0,0,0
20180703,IPCO,1,0,0,0
20180703,LDWP,1,0,0,0
20180703,NEVP,1,0,0,0
20180703,NWMT,1,0,0,0
20180703,PACE,0,1,0,0
20180703,PACW,1,0,0,0
20180703,PGE,1,0,0,0
20180703,PNM,1,0,0,0
20180703,PSCO,0,1,0,0
20180703,PSEI,1,0,0,0
20180703,SRP,1,0,0,0
20180703,SWPP,1,0,0,0
20180703,TEPC,1,0,0,0
20180703,WACM,0,1,0,0
20180703,WALC,1,0,0,0
20180704,AVA,1,0,0,0
20180704,AVRN,1,0,0,0
20180704,AZPS,1,0,0,0
20180704,BANC,0,1,0,0
20180704,BPAT,0,1,0,0
20180704,CISO,1,0,0,0
20180704,EPE,1,0,0,0
20180704,ERCO,1,0,0,0
20180704,IID,1,0,0,0
20180704,IPCO,0,1,0,0
20180704,LDWP,1,0,0,0
20180704,NEVP,1,0,0,0
20180704,NWMT,1,0,0,0
20180704,PACE,1,0,0,0
20180704,PACW,0,1,0,0
20180704,PGE,1,0,0,0
20180704,PNM,0,1,0,0
20180704,PSCO,0,1,0,0
20180704,PSEI,1,0,0,0
20180704,SRP,1,0,0,0
20180704,SWPP,0,1,0,0
20180704,TEPC,1,0,0,0
20180704,WACM,0,1,0,0
20180704,WALC,1,0,0,0
20180705,AVA,0,1,0,0
20180705,AVRN,0,1,0,0
20180705,AZPS,1,0,0,0
20180705,BANC,0,1,0,0
20180705,BPAT,0,1,0,0
20180705,CISO,1,0,0,0
20180705,EPE,1,0,0,0
20180705,ERCO,1,0,0,0
20180705,IID,1,0,0,0
20180705,IPCO,0,1,1,1
20180705,LDWP,1,0,0,0
20180705,NEVP,1,0,0,0
20180705,NWMT,0,1,0,0
20180705,PACE,1,0,0,0
20180705,PACW,0,1,0,0
20180705,PGE,1,0,0,0
20180705,PNM,1,0,0,0
20180705,PSCO,0,1,0,0
20180705,PSEI,0,1,0,0
20180705,SRP,1,0,0,0
20180705,SWPP,1,0,0,0
20180705,TEPC,1,0,0,0
20180705,WACM,0,1,0,0
20180705,WALC,1,0,0,0
20180706,AVA,0,1,0,0
20180706,AVRN,1,0,0,0
20180706,AZPS,1,0,0,0
20180706,BANC,1,0,0,0
20180706,BPAT,1,0,0,0
20180706,CISO,0,1,0,0
20180706,EPE,1,0,0,0
20180706,ERCO,1,0,0,0
20180706,IID,0,1,0,0
20180706,IPCO,0,1,0,0
20180706,LDWP,0,1,0,0
20180706,NEVP,0,1,0,0
20180706,NWMT,0,1,0,0
20180706,PACE,1,0,0,0
20180706,PACW,1,0,0,0
20180706,PGE,1,0,0,0
20180706,PNM,1,0,0,0
20180706,PSCO,0,1,0,0
20180706,PSEI,0,1,0,0
20180706,SRP,1,0,0,0
20180706,SWPP,1,0,0,0
20180706,TEPC,1,0,0,0
20180706,WACM,0,1,0,0
20180706,WALC,1,0,0,0
20180707,AVA,0,1,0,0
20180707,AVRN,0,1,0,0
20180707,AZPS,1,0,0,0
20180707,BANC,1,0,0,0
20180707,BPAT,0,1,0,0
20180707,CISO,1,0,0,0
20180707,EPE,1,0,0,0
20180707,ERCO,1,0,0,0
20180707,IID,0,1,0,0
20180707,IPCO,0,1,0,0
20180707,LDWP,0,1,0,0
20180707,NEVP,1,0,0,0
20180707,NWMT,0,1,0,0
20180707,PACE,1,0,0,0
20180707,PACW,0,1,0,0
20180707,PGE,1,0,0,0
20180707,PNM,1,0,0,0
20180707,PSCO,1,0,0,0
20180707,PSEI,0,1,0,0
20180707,SRP,1,0,0,0
20180707,SWPP,1,0,0,0
20180707,TEPC,1,0,0,0
20180707,WACM,1,0,0,0
20180707,WALC,1,0,0,0
20180708,AVA,0,1,0,0
20180708,AVRN,0,1,0,0
20180708,AZPS,1,0,0,0
20180708,BANC,1,0,0,0
20180708,BPAT,0,1,0,0
20180708,CISO,1,0,0,0
20180708,EPE,1,0,0,0
20180708,ERCO,1,0,0,0
20180708,IID,1,0,0,0
20180708,IPCO,0,1,0,0
20180708,LDWP,1,0,0,0
20180708,NEVP,1,0,0,0
20180708,NWMT,0,1,0,0
20180708,PACE,1,0,0,0
20180708,PACW,0,1,0,0
20180708,PGE,0,1,0,0
20180708,PNM,1,0,0,0
20180708,PSCO,1,0,0,0
20180708,PSEI,0,1,0,0
20180708,SRP,1,0,0,0
20180708,SWPP,1,0,0,0
20180708,TEPC,1,0,0,0
20180708,WACM,0,1,0,0
20180708,WALC,1,0,0,0
20180709,AVA,0,1,1,0
20180709,AVRN,0,1,1,0
20180709,AZPS,1,0,0,0
20180709,BANC,1,0,0,0
